"No.","Time","Delta","Type","L2-SRC","L2-DST","Length","What","L3-SRC","L4-SRC","L3-DST","L4-DST","Info","SUM"
"1","2024-09-22 03:35:15.273","0.000","ARP","Google_7b:43:4d","Broadcast","42","ARP","","","","","Who has 192.168.86.28? Tell 192.168.86.1","42"
"2","2024-09-22 03:35:15.683","0.409","","Google_7b:43:4f","Spanning-tree-(for-bridges)_00","52","STP","","","","","Conf. Root = 8192/7/00:1b:90:a3:02:80  Cost = 19  Port = 0x8004","94"
"3","2024-09-22 03:35:16.093","0.409","ARP","Google_7b:43:4d","Broadcast","42","ARP","","","","","Who has 192.168.86.28? Tell 192.168.86.1","136"
"4","2024-09-22 03:35:16.577","0.484","IPv4","ae:a1:0f:fa:03:6e","Google_7b:43:4d","304","TLSv1.2","192.168.86.32","53201","35.174.127.31","https","Application Data","440"
"5","2024-09-22 03:35:16.675","0.098","IPv4","Google_7b:43:4d","ae:a1:0f:fa:03:6e","327","TLSv1.2","35.174.127.31","https","192.168.86.32","53201","Application Data","767"
"6","2024-09-22 03:35:16.675","0.000","IPv4","ae:a1:0f:fa:03:6e","Google_7b:43:4d","66","TCP","192.168.86.32","53201","35.174.127.31","https","53201  >  https(443) [ACK] Seq=239 Ack=262 Win=2043 Len=0 TSval=2254904198 TSecr=4245875618","833"
"7","2024-09-22 03:35:17.460","0.784","IPv4","ae:a1:0f:fa:03:6e","Vizio_a7:97:1d","164","TCP","192.168.86.240","51326","192.168.86.249","nvme-disc","51326  >  nvme-disc(8009) [PSH, ACK] Seq=1 Ack=1 Win=1022 Len=110 [TCP PDU reassembled in 10280]","997"
"8","2024-09-22 03:35:17.475","0.015","IPv4","Vizio_a7:97:1d","ae:a1:0f:fa:03:6e","164","TCP","192.168.86.249","nvme-disc","192.168.86.240","51326","nvme-disc(8009)  >  51326 [PSH, ACK] Seq=1 Ack=111 Win=206 Len=110 [TCP PDU reassembled in 10281]","1161"
"9","2024-09-22 03:35:17.523","0.047","IPv4","ae:a1:0f:fa:03:6e","Vizio_a7:97:1d","54","TCP","192.168.86.240","51326","192.168.86.249","nvme-disc","51326  >  nvme-disc(8009) [ACK] Seq=111 Ack=111 Win=1022 Len=0","1215"
"10","2024-09-22 03:35:17.731","0.208","","Google_7b:43:4f","Spanning-tree-(for-bridges)_00","52","STP","","","","","Conf. Root = 8192/7/00:1b:90:a3:02:80  Cost = 19  Port = 0x8004","1267"
"11","2024-09-22 03:35:17.732","0.000","","Cisco_a3:02:98","CDP/VTP/DTP/PAgP/UDLD","491","CDP","","","","","Device ID: tst-lan-sw1.tst.areaf.net  Port ID: FastEthernet0/22  ","1758"
"12","2024-09-22 03:35:17.732","0.000","IPv4","PCPartner_78:9c:2d","IPv4mcast_7f:ff:fa","217","SSDP","192.168.86.237","63127","239.255.255.250","ssdp","M-SEARCH * HTTP/1.1 ","1975"
"13","2024-09-22 03:35:17.948","0.216","IPv6","ae:a1:0f:fa:03:6e","72:04:29:ff:e4:a8","66","UDP","fe80::1832:719e:7a83:431a","xserveraid","fe80::148c:757e:cf25:89fc","xserveraid","xserveraid(3722)  >  xserveraid(3722) Len=4","2041"
